time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-12-31T10:32:15.000Z,62.7576,-149.2327,58.7,1.3,ml,6,212.399983008001,0.3269868,0.64,ak,ak10924082,2013-12-31T10:36:49.260Z,"66km NE of Talkeetna, Alaska",earthquake
2013-12-31T10:29:01.200Z,18.472,-64.8663,107,2.8,Md,4,331.2,0.14552708,0.02,pr,pr13365005,2013-12-31T15:44:40.853Z,"15km NNE of Charlotte Amalie, U.S. Virgin Islands",earthquake
2013-12-31T10:27:56.000Z,51.7924,177.4318,25,3.3,ml,11,208.799983296001,2.238602,0.66,ak,ak10924080,2013-12-31T17:40:22.919Z,"36km SSW of Kiska Volcano, Alaska",earthquake
2013-12-31T10:22:06.900Z,14.0124,-92.1119,59.51,4.5,mb,,158,0.647,0.96,us,usc000lunz,2013-12-31T10:46:37.372Z,"38km SSW of Champerico, Guatemala",earthquake
2013-12-31T10:15:52.100Z,32.6092,-115.7053,9.4,1.4,Ml,12,158.4,0.1527136,0.36,ci,ci11408074,2013-12-31T10:18:01.659Z,"11km WNW of Progreso, Mexico",earthquake
2013-12-31T10:07:54.000Z,61.0953,-152.4615,129.5,2,ml,44,115.199990784001,0.114086,0.67,ak,ak10924073,2013-12-31T17:33:04.635Z,"69km NNE of Redoubt Volcano, Alaska",earthquake
2013-12-31T10:07:48.000Z,63.5696,-150.794,10.7,1.5,ml,12,107.999991360001,0.06018712,0.52,ak,ak10924076,2013-12-31T10:11:41.304Z,"93km WNW of Cantwell, Alaska",earthquake
2013-12-31T10:03:12.200Z,36.1367,-118.0755,0,1.4,Ml,15,82.8,0.17966306,0.33,ci,ci11408066,2013-12-31T10:05:55.037Z,"52km S of Lone Pine, California",earthquake
2013-12-31T09:49:31.920Z,36.0948333,-117.6083333,8.68,1,ml,10,76,0.1034,0.1,ci,ci11408034,2013-12-31T18:06:43.375Z,"40km NNW of Searles Valley, California",earthquake
2013-12-31T09:48:05.000Z,61.6757,-149.809,50.3,1.2,ml,6,143.999988480001,0.3323767,0.22,ak,ak10924068,2013-12-31T09:51:53.397Z,"5km N of Houston, Alaska",earthquake
2013-12-31T09:46:52.500Z,19.8598,-155.5455,24.3,2.7,Md,,118.8,0.10779783,0.3,hv,hv60613471,2013-12-31T17:49:30.054Z,"22km SE of Waimea, Hawaii",earthquake
2013-12-31T09:46:42.800Z,36.0978,-117.6083,7.5,1.3,Ml,12,129.6,0.10779783,0.16,ci,ci11408026,2013-12-31T09:48:54.939Z,"41km NNW of Searles Valley, California",earthquake
2013-12-31T09:41:41.000Z,33.5033,-116.4708,4.8,1.3,Ml,15,100.8,0.07186522,0.22,ci,ci11408010,2013-12-31T09:43:59.914Z,"19km ESE of Anza, California",earthquake
2013-12-31T09:39:42.680Z,36.1395,-118.0731667,1.34,1.11,ml,12,163,0.1781,0.06,ci,ci11408018,2013-12-31T18:04:43.362Z,"51km S of Lone Pine, California",earthquake
2013-12-31T09:37:46.100Z,36.145,-118.0707,0.7,1.7,Ml,19,82.8,0.17966306,0.28,ci,ci11408002,2013-12-31T09:39:56.413Z,"51km S of Lone Pine, California",earthquake
2013-12-31T09:33:02.350Z,33.5051667,-116.4715,9.91,1.28,ml,26,98,0.04237,0.1,ci,ci11407986,2013-12-31T17:59:32.330Z,"19km ESE of Anza, California",earthquake
2013-12-31T09:28:06.500Z,33.503,-116.4665,10.6,1,Ml,30,97.2,0.03593261,0.17,ci,ci11407978,2013-12-31T09:30:54.784Z,"20km ESE of Anza, California",earthquake
2013-12-31T09:21:08.670Z,33.4986649,-116.4771652,8.22,3.09,ml,96,22,0.04957,0.2,ci,ci11407970,2013-12-31T16:53:33.940Z,"19km ESE of Anza, California",earthquake
2013-12-31T08:55:30.300Z,19.1187,-68.3127,64,3.1,Md,6,288,0.6054645,0.51,pr,pr13365004,2013-12-31T16:58:10.786Z,"60km N of Punta Cana, Dominican Republic",earthquake
2013-12-31T08:48:34.600Z,18.9064,-68.3977,96,3.4,Md,11,284.4,0.39076715,0.37,pr,pr13365002,2013-12-31T16:51:07.810Z,"35km N of Punta Cana, Dominican Republic",earthquake
2013-12-31T08:36:30.840Z,-15.659,-172.8473,23.38,5.1,mb,,99,2.024,1.29,us,usc000lumu,2013-12-31T16:39:00.615Z,"101km ENE of Hihifo, Tonga",earthquake
2013-12-31T08:35:56.040Z,33.0558333,-115.5663333,9.09,1.17,ml,13,206,0.05133,0.09,ci,ci11407962,2013-12-31T17:53:26.690Z,"5km ENE of Westmorland, California",earthquake
2013-12-31T08:27:45.000Z,65.1496,-148.9791,14,2.3,ml,28,50.3999959680003,0.367411,0.53,ak,ak10923628,2013-12-31T08:39:39.199Z,"56km NW of Ester, Alaska",earthquake
2013-12-31T08:21:16.700Z,32.1591682,-115.2676697,13.43,3.02,ml,12,234,0.2615,0.41,ci,ci11407954,2013-12-31T16:23:44.762Z,"11km SW of Alberto Oviedo Mota, Mexico",earthquake
2013-12-31T07:54:14.700Z,36.607,-121.2202,9.7,1.1,Md,,68.4,0.07186522,0.08,nc,nc72133436,2013-12-31T09:11:04.894Z,"22km NNE of Soledad, California",earthquake
2013-12-31T07:52:58.000Z,62.4235,-151.1427,79.5,1.6,ml,9,201.599983872001,0.4240048,0.27,ak,ak10923624,2013-12-31T08:04:32.316Z,"54km WNW of Talkeetna, Alaska",earthquake
2013-12-31T07:49:39.000Z,63.4611,-148.1792,0.4,1,ml,8,187.199985024001,0.3090205,0.25,ak,ak10923623,2013-12-31T07:52:16.733Z,"39km ENE of Cantwell, Alaska",earthquake
2013-12-31T07:45:46.620Z,13.408,-91.1211,48.23,4.3,mb,,188,1.239,0.62,us,usc000lumj,2013-12-31T15:48:16.270Z,"65km SSW of Puerto San Jose, Guatemala",earthquake
2013-12-31T07:41:47.000Z,51.5529,-177.5515,29.6,2,ml,13,215.999982720001,,0.27,ak,ak10923621,2013-12-31T17:19:21.079Z,"54km SE of Tanaga Volcano, Alaska",earthquake
2013-12-31T07:40:24.000Z,63.4805,-147.0515,10.8,1.3,ml,9,215.999982720001,0.430293,0.44,ak,ak10923619,2013-12-31T07:47:17.365Z,"89km SW of Delta Junction, Alaska",earthquake
2013-12-31T07:34:19.300Z,36.1448,-118.0688,0.3,1.2,Ml,11,82.8,0.17966306,0.12,ci,ci11407946,2013-12-31T07:36:45.692Z,"51km S of Lone Pine, California",earthquake
2013-12-31T07:32:31.200Z,38.7573,-122.7243,3.1,1.1,Md,,68.4,0.01796631,0.03,nc,nc72133426,2013-12-31T10:02:05.252Z,"3km SE of The Geysers, California",earthquake
2013-12-31T07:28:28.000Z,61.1442,-152.038,99.9,2,ml,16,158.399987328001,0.1625951,0.63,ak,ak10923196,2013-12-31T07:40:19.600Z,"64km NW of Nikiski, Alaska",earthquake
2013-12-31T07:23:04.700Z,33.5052,-116.4665,15.4,1.3,Ml,16,97.2,0.10779783,0.39,ci,ci11407930,2013-12-31T07:25:43.885Z,"20km ESE of Anza, California",earthquake
2013-12-31T07:03:39.900Z,33.5103,-116.4448,10,1.1,Ml,20,104.4,0.01796631,0.07,ci,ci11407922,2013-12-31T07:05:52.261Z,"21km SW of La Quinta, California",earthquake
2013-12-31T06:30:14.800Z,38.7995,-122.8153,3.2,2,Md,,39.6,0.01796631,0.03,nc,nc72133401,2013-12-31T08:43:01.907Z,"5km WNW of The Geysers, California",earthquake
2013-12-31T06:11:16.000Z,61.3575,-146.443,18.4,2.2,ml,40,53.9999956800003,0.3108171,0.76,ak,ak10923184,2013-12-31T06:14:36.099Z,"25km NNW of Valdez, Alaska",earthquake
2013-12-31T05:50:15.000Z,63.1831,-150.4565,112.7,1.2,ml,12,158.399987328001,0.2766811,0.34,ak,ak10922767,2013-12-31T17:16:47.066Z,"79km WSW of Cantwell, Alaska",earthquake
2013-12-31T05:40:41.800Z,37.9148,-122.0155,12.2,1.2,Md,,136.8,0.06288207,0.06,nc,nc72133396,2013-12-31T08:43:01.905Z,"3km ESE of Waldon, California",earthquake
2013-12-31T05:12:42.700Z,33.4948,-116.5092,13.9,1.2,Ml,18,126,0.06288207,0.14,ci,ci11407906,2013-12-31T05:15:33.213Z,"16km ESE of Anza, California",earthquake
2013-12-31T03:54:23.100Z,33.2348,-115.6873,2.2,1.3,Ml,9,280.8,0.07186522,0.15,ci,ci11407874,2013-12-31T03:56:34.516Z,"15km W of Niland, California",earthquake
2013-12-31T03:53:53.100Z,38.825,-122.844,2.5,2.1,Md,,75.6,0.00898315,0.06,nc,nc72133321,2013-12-31T11:56:29.771Z,"9km NW of The Geysers, California",earthquake
2013-12-31T03:53:40.500Z,38.7515,-122.7047,1.5,1.7,Md,,190.8,0.00898315,0.04,nc,nc72133316,2013-12-31T07:07:06.437Z,"5km ESE of The Geysers, California",earthquake
2013-12-31T03:53:28.200Z,38.7518,-122.7043,1.4,1,Md,,129.6,0.00898315,0.03,nc,nc72133311,2013-12-31T04:44:05.868Z,"5km ESE of The Geysers, California",earthquake
2013-12-31T03:51:24.200Z,38.7513,-122.7008,1.7,1.4,Md,,100.8,0.00898315,0.02,nc,nc72133306,2013-12-31T06:46:09.268Z,"5km ESE of The Geysers, California",earthquake
2013-12-31T03:35:33.600Z,18.981,-155.3783,33.6,2,Md,,226.8,0.18864621,0.23,hv,hv60613216,2013-12-31T03:39:00.309Z,"27km SSE of Pahala, Hawaii",earthquake
2013-12-31T03:27:03.900Z,33.9647,-116.8715,8.1,1.1,Ml,43,36,0.08983153,0.1,ci,ci11407858,2013-12-31T03:29:14.436Z,"4km N of Banning, California",earthquake
2013-12-31T03:21:06.600Z,36.0388,-117.7783,2.5,1.3,Ml,10,118.8,0.01796631,0.09,ci,ci11407850,2013-12-31T03:23:14.259Z,"43km N of Inyokern, California",earthquake
2013-12-31T03:13:55.490Z,36.053,-96.8458,4.99,2.9,mb_lg,,64,0.585,0.7,us,usc000lul1,2013-12-31T06:38:58.261Z,"10km NW of Cushing, Oklahoma",earthquake
2013-12-31T03:09:58.700Z,33.6352,-116.7187,18.9,1.1,Ml,24,75.6,0.05389892,0.12,ci,ci11407834,2013-12-31T03:12:12.419Z,"9km NNW of Anza, California",earthquake
2013-12-31T02:45:54.400Z,33.3928,-116.341,12,1.1,Ml,30,147.6,0.14373045,0.19,ci,ci11407818,2013-12-31T02:48:13.930Z,"15km NNE of Borrego Springs, California",earthquake
2013-12-31T02:28:27.000Z,59.5316,-152.7023,68.2,1.7,ml,22,100.799991936001,0.3853773,0.5,ak,ak10922303,2013-12-31T17:12:50.606Z,"56km WSW of Anchor Point, Alaska",earthquake
2013-12-31T02:23:19.000Z,51.2391,-178.2623,13.2,3.8,ml,24,259.199979264002,0.6099561,0.3,ak,ak10922301,2013-12-31T17:07:49.911Z,"59km E of Amatignak Island, Alaska",earthquake
2013-12-31T02:09:25.300Z,18.1685,-67.2733,32,2.4,Md,5,252,0.17786643,0.21,pr,pr13365001,2013-12-31T03:37:14.266Z,"13km NW of Puerto Real, Puerto Rico",earthquake
2013-12-31T02:06:19.120Z,38.1182,-118.33,14.94,1.5,ml,15,105,0.164,0.08,nn,nn00432731,2013-12-31T02:08:42.963Z,"51km SSE of Hawthorne, Nevada",earthquake
2013-12-31T02:00:14.500Z,33.625,-116.7173,18.1,2.2,Ml,73,21.6,0.05389892,0.17,ci,ci11407754,2013-12-31T02:11:17.560Z,"8km NNW of Anza, California",earthquake
2013-12-31T01:59:25.900Z,33.6238,-116.7203,18.2,1.8,Ml,51,28.8,0.04491576,0.18,ci,ci11407746,2013-12-31T02:10:12.050Z,"8km NNW of Anza, California",earthquake
2013-12-31T01:59:05.500Z,33.632,-116.715,18.7,1.4,Ml,32,64.8,0.05389892,0.18,ci,ci11407730,2013-12-31T02:10:05.170Z,"9km NNW of Anza, California",earthquake
2013-12-31T01:58:23.800Z,33.6297,-116.719,18.2,1.3,Ml,16,86.4,0.05389892,0.05,ci,ci11407714,2013-12-31T02:01:18.014Z,"9km NNW of Anza, California",earthquake
2013-12-31T01:50:56.300Z,33.8498,-116.9555,11.8,1.1,Ml,30,79.2,0.14373045,0.21,ci,ci11407706,2013-12-31T01:53:11.751Z,"7km N of San Jacinto, California",earthquake
2013-12-31T01:36:23.850Z,36.6574,-98.5514,5,2.9,mb_lg,,79,0.456,0.7,us,usc000lujk,2013-12-31T13:23:32.303Z,"19km SSE of Alva, Oklahoma",earthquake
2013-12-31T01:05:18.700Z,38.8158,-122.8465,1.8,1.5,Md,,72,0.00898315,0.04,nc,nc72133231,2013-12-31T03:49:04.906Z,"8km WNW of The Geysers, California",earthquake
2013-12-31T01:03:00.700Z,36.7891,140.5911,9.9,5.1,mb,,84,1.934,1.07,us,usc000luj7,2013-12-31T17:52:57.680Z,"13km NW of Takahagi, Japan",earthquake
2013-12-31T00:28:30.000Z,61.2232,-147.6341,0,1.6,ml,12,93.5999925120006,0.4311913,0.33,ak,ak10921320,2013-12-31T00:52:42.516Z,"69km W of Valdez, Alaska",earthquake
2013-12-31T00:27:53.800Z,38.8133,-122.8085,1.6,1.9,Md,,82.8,0.00898315,0.03,nc,nc72133221,2013-12-31T02:49:03.289Z,"6km NW of The Geysers, California",earthquake
2013-12-31T00:25:48.000Z,34.1898,-117.6222,4.2,1.3,Ml,34,46.8,0.05389892,0.14,ci,ci11407698,2013-12-31T00:28:01.347Z,"4km NE of San Antonio Heights, California",earthquake
2013-12-31T00:20:06.000Z,61.4082,-150.566,69.1,1.5,ml,6,133.199989344001,0.1024079,0.1,ak,ak10921313,2013-12-31T00:27:02.052Z,"34km WSW of Big Lake, Alaska",earthquake
2013-12-31T00:18:17.900Z,18.2745,-68.0195,105,3.2,Md,13,198,0.41771661,0.28,pr,pr13365000,2013-12-31T08:20:49.771Z,"53km SE of Punta Cana, Dominican Republic",earthquake
2013-12-31T00:17:09.000Z,63.6689,-149.621,125.6,1.3,ml,17,75.5999939520005,0.3081221,0.36,ak,ak10921312,2013-12-31T00:43:14.916Z,"38km WSW of Healy, Alaska",earthquake
2013-12-31T00:16:59.500Z,19.2905,-155.8152,8.7,2,md,,104.399991648001,0.05389892,0.38,hv,hv60613121,2013-12-31T00:20:19.000Z,"19km SSE of Honaunau-Napoopoo, Hawaii",earthquake
2013-12-30T23:48:19.710Z,-10.2336,-75.4972,45.5,4.6,mb,,104,2.186,1.11,us,usc000luih,2013-12-31T07:50:50.839Z,"39km NNW of Oxapampa, Peru",earthquake
2013-12-30T23:44:21.440Z,33.7001667,-116.7325,19.59,3.63,ml,103,16,0.01881,0.17,ci,ci11407682,2013-12-31T17:48:53.216Z,"4km S of Idyllwild-Pine Cove, California",earthquake
2013-12-30T23:33:13.770Z,-31.9952,-177.9234,23.74,4.2,mb,,137,2.741,1.44,us,usc000lui7,2013-12-31T07:35:48.036Z,"111km SE of L'Esperance Rock, New Zealand",earthquake
2013-12-30T23:28:11.000Z,57.994,-155.7804,23.5,1.9,ml,15,115.199990784001,0.1239675,0.82,ak,ak10921304,2013-12-31T00:49:21.247Z,"92km SE of King Salmon, Alaska",earthquake
2013-12-30T22:47:08.100Z,38.8068,-122.8222,2.2,1.8,Md,,46.8,0.00898315,0.04,nc,nc72133166,2013-12-31T01:31:03.697Z,"6km WNW of The Geysers, California",earthquake
2013-12-30T22:15:26.000Z,62.0934,-150.8146,34.4,1.6,ml,7,158.399987328001,0.3539362,0.46,ak,ak10921283,2013-12-30T22:22:20.678Z,"44km SW of Talkeetna, Alaska",earthquake
2013-12-30T22:13:06.800Z,49.4553,-120.5212,0,2.4,Md,,212.4,0.60187124,0.45,uw,uw60663546,2013-12-31T04:17:49.484Z,"0km WSW of Princeton, Canada",quarry
2013-12-30T22:06:11.000Z,40.3187,-124.2728,10.3,1.7,Md,,118.8,0.00898315,0.01,nc,nc72133141,2013-12-31T00:58:05.112Z,"24km SW of Rio Dell, California",earthquake
2013-12-30T22:02:54.700Z,32.5622,-115.7065,5.2,1.9,Ml,23,144,0.08983153,0.46,ci,ci11407666,2013-12-30T22:06:12.725Z,"11km W of Progreso, Mexico",earthquake
2013-12-30T21:50:14.000Z,51.5795,-175.2023,25.6,2.1,ml,13,237.599980992002,0.6036679,0.43,ak,ak10920878,2013-12-30T22:31:44.412Z,"97km SW of Atka, Alaska",earthquake
2013-12-30T21:27:26.290Z,33.5161667,-115.8433333,7.38,2.18,ml,45,57,0.03643,0.1,ci,ci11407658,2013-12-31T08:12:31.285Z,"22km ESE of Mecca, California",earthquake
2013-12-30T21:27:15.000Z,63.0138,-150.4125,91.1,1.4,ml,10,104.399991648001,0.4392762,0.7,ak,ak10920871,2013-12-30T21:33:33.944Z,"78km NNW of Talkeetna, Alaska",earthquake
2013-12-30T21:06:05.500Z,35.4883,-118.2973,2.8,1.5,Ml,9,111.6,0.21559567,0.08,ci,ci11407642,2013-12-30T21:08:38.603Z,"19km S of Weldon, California",earthquake
2013-12-30T20:40:22.000Z,63.4302,-150.021,113.3,1.4,ml,26,61.1999951040004,0.1221709,0.35,ak,ak10920377,2013-12-30T22:26:20.077Z,"53km W of Cantwell, Alaska",earthquake
2013-12-30T20:31:02.840Z,19.1329,120.1805,10,5,mb,,48,3.761,1.23,us,usc000lubv,2013-12-31T04:33:53.460Z,"84km NNW of Davila, Philippines",earthquake
2013-12-30T20:17:59.110Z,19.2364,120.2532,9.68,5.1,mb,,40,3.646,1.3,us,usc000lubf,2013-12-31T04:20:40.739Z,"90km NNW of Burgos, Philippines",earthquake
2013-12-30T19:57:49.000Z,62.2456,-147.9714,100,1.3,ml,14,125.999989920001,0.3512413,1.06,ak,ak10920369,2013-12-30T20:04:23.263Z,"68km NE of Sutton-Alpine, Alaska",earthquake
2013-12-30T19:49:16.300Z,18.8474,-68.19,45,3.1,Md,10,259.2,0.37729242,0.25,pr,pr13364006,2013-12-31T03:52:27.525Z,"37km NE of Punta Cana, Dominican Republic",earthquake
2013-12-30T19:44:33.000Z,65.1133,-150.4634,13.9,1.7,ml,12,143.999988480001,0.1437304,0.55,ak,ak10920282,2013-12-30T19:59:28.927Z,"14km NNE of Manley Hot Springs, Alaska",earthquake
2013-12-30T19:27:45.000Z,61.5438,-148.1067,29.7,1.5,ml,12,136.799989056001,0.2129007,0.76,ak,ak10920267,2013-12-30T19:34:03.929Z,"45km ESE of Lazy Mountain, Alaska",earthquake
2013-12-30T19:26:58.000Z,52.0927,-169.3397,7,2.8,ml,9,334.799973216002,0.9261631,0.78,ak,ak10920266,2013-12-31T03:29:23.851Z,"99km SSW of Nikolski, Alaska",earthquake
2013-12-30T19:23:11.000Z,52.1638,-169.4446,13.4,3.4,ml,16,338.399972928002,0.8821456,0.6,ak,ak10920263,2013-12-31T03:25:38.555Z,"94km SSW of Nikolski, Alaska",earthquake
2013-12-30T18:56:58.600Z,32.6133,-115.7157,9.5,2,Ml,19,154.8,0.03593261,0.3,ci,ci11407618,2013-12-30T19:42:38.798Z,"12km WNW of Progreso, Mexico",earthquake
2013-12-30T18:52:38.800Z,36.7302,-121.4353,8.7,1.2,Md,,61.2,0.01796631,0.05,nc,nc72133066,2013-12-30T21:11:05.726Z,"11km SW of Ridgemark, California",earthquake
2013-12-30T18:38:44.000Z,61.2111,-151.3736,50.6,1.4,ml,8,129.599989632001,0.3198002,0.8,ak,ak10920250,2013-12-30T18:42:42.146Z,"58km N of Nikiski, Alaska",earthquake
2013-12-30T18:37:40.000Z,51.8241,-176.4885,69.7,3.6,ml,18,187.199985024001,0.133849,0.37,ak,ak10920249,2013-12-31T02:40:18.320Z,"13km ESE of Adak, Alaska",earthquake
2013-12-30T18:36:58.000Z,38.8005,-122.8188,3.3,1.7,Md,,86.4,0.00898315,0.03,nc,nc72133046,2013-12-30T20:13:09.391Z,"6km WNW of The Geysers, California",earthquake
2013-12-30T18:35:55.700Z,37.3622,-121.6007,5.9,1.9,Md,,61.2,0.03593261,0.06,nc,nc72133041,2013-12-30T19:44:06.321Z,"19km E of East Foothills, California",earthquake
2013-12-30T18:32:35.080Z,33.3883333,-116.3325,10.89,3.3,ml,94,18,0.06794,0.14,ci,ci11407610,2013-12-31T17:56:27.069Z,"15km NNE of Borrego Springs, California",earthquake
2013-12-30T18:16:35.000Z,51.7214,-174.5634,36.1,2.2,ml,11,251.999979840002,0.5291077,0.25,ak,ak10920238,2013-12-30T18:56:58.558Z,"58km SSW of Atka, Alaska",earthquake
2013-12-30T17:52:58.000Z,63.3215,-145.1333,9.5,1.6,ml,6,107.999991360001,0.3027323,0.13,ak,ak10920226,2013-12-30T17:59:25.177Z,"61km S of Deltana, Alaska",earthquake
2013-12-30T17:43:24.000Z,60.6949,-152.4707,101.1,1.8,ml,8,140.399988768001,0.1491203,1.06,ak,ak10920223,2013-12-30T18:16:52.130Z,"27km NNE of Redoubt Volcano, Alaska",earthquake
2013-12-30T17:21:57.400Z,32.6178,-115.7093,10.6,2,Ml,20,154.8,0.03593261,0.32,ci,ci11407602,2013-12-30T17:25:07.623Z,"12km WNW of Progreso, Mexico",earthquake
2013-12-30T17:18:19.000Z,62.2965,-149.6244,35.9,1.7,ml,10,140.399988768001,0.6180409,0.41,ak,ak10920211,2013-12-30T17:24:48.957Z,"19km NE of Y, Alaska",earthquake
2013-12-30T17:15:51.000Z,57.1279,-155.242,62.5,2.6,ml,30,122.399990208001,0.7833309,0.8,ak,ak10920210,2013-12-31T02:29:42.216Z,"88km WSW of Larsen Bay, Alaska",earthquake
