Date,TimeUTC,Latitude,Longitude,Magnitude,Depth
2010/10/29,05:05:26.5,35.320,-92.301,2.5,  5
2010/10/29,02:25:02.3,-12.534, 63.299,5.2, 10
2010/10/28,21:41:13.8,-0.435,-19.99,5.0, 10
2010/10/28,11:37:01.1,-24.57,-112.125,5.0, 15
2010/10/28,09:22:24.2,29.935, 51.182,4.5, 33
2010/10/28,08:38:33.0,-5.429,146.740,4.8,218
2010/10/28,07:41:01.8,28.609, 92.888,4.6, 61
2010/10/28,03:59:41.3,36.529, 71.040,5.2,177
2010/10/28,03:17:25.0,-5.553,153.696,5.6, 36
2010/10/28,03:16:16.1,-6.448,130.021,5.1,167
2010/10/28,02:22:26.0,23.138,-108.496,5.3, 10
2010/10/28,00:53:28.7,-10.767,162.669,5.1, 45
2010/10/27,22:44:51.7,61.036,-151.144,4.8, 61
2010/10/27,21:34:58.0,-3.062, 99.736,4.9, 31
2010/10/27,21:05:44.6,13.277,145.421,5.0, 48
2010/10/27,20:09:02.4,-18.967,-69.462,4.8, 86
2010/10/27,18:46:02.7,-60.427,-24.488,5.4, 34
2010/10/27,15:09:39.5,-3.554, 99.552,5.1, 10
2010/10/27,14:18:02.0,-29.438,143.594,4.5,  7
2010/10/27,12:49:36.2,22.871,-108.415,4.6, 10
2010/10/27,04:48:06.5,41.492, 73.208,4.6, 48
2010/10/27,04:33:19.9,-3.536, 99.849,5.2, 10
2010/10/27,02:16:36.5,-5.28,133.930,4.7, 10
2010/10/27,00:17:30.4,-3.523, 99.583,5.0, 30
2010/10/27,00:04:03.0,-3.49, 99.634,5.1, 31
2010/10/26,23:45:38.5,-2.346, 99.907,5.8, 25
2010/10/26,23:09:47.0,-3.788, 99.536,4.9, 29
2010/10/26,19:40:38.4,-3.576, 99.807,5.1, 10
2010/10/26,14:57:49.4,-2.283, 99.596,4.7, 26
2010/10/26,14:35:34.5,-3.219,100.238,4.5, 14
2010/10/26,11:33:21.2,-2.499, 99.923,5.3, 26
2010/10/26,11:25:18.6,-2.518, 99.944,4.7, 15
2010/10/26,11:19:45.4,-7.598,128.320,4.8,198
2010/10/26,11:05:50.4,-3.198,100.261,4.7, 40
2010/10/26,10:51:25.6,-3.762, 99.769,5.3, 30
2010/10/26,10:00:10.9,-2.752, 99.889,4.4, 12
2010/10/26,08:53:13.8,-3.615, 99.785,4.9, 13
2010/10/26,07:31:26.3,-5.69,149.484,4.7, 80
2010/10/26,05:16:54.9,-21.916,-179.484,4.8,580
2010/10/26,04:54:48.5,-5.177,133.672,4.7, 10
2010/10/26,04:12:47.5,43.625,-110.483,3.3,  4
2010/10/26,03:50:12.6,-3.113, 99.948,4.8,  8
2010/10/26,03:28:33.6,-3.163,100.437,4.9, 40
2010/10/26,02:08:28.9,-41.541,-85.755,5.4, 10
2010/10/26,01:24:17.0,43.624,-110.451,3.8,  5
2010/10/25,22:59:53.6,-3.254,100.471,5.8, 19
2010/10/25,22:10:03.0,-2.844, 99.993,4.9, 20
2010/10/25,19:37:31.4,-2.953,100.392,6.3, 26
2010/10/25,16:57:54.6,-4.09, 99.67 ,4.0, 10
2010/10/25,15:55:59.7,-3.46, 99.875,4.7, 31
2010/10/25,15:40:37.4,-3.603, 99.683,4.3, 10
2010/10/25,15:40:29.9,-3.04,100.21 ,4.4, 20
2010/10/25,15:35:39.2,-3.761, 99.502,4.1, 10
2010/10/25,15:31:11.5,-3.216,100.221,4.5, 26
2010/10/25,15:23:18.5,-3.78, 99.923,4.7, 11
2010/10/25,15:21:12.0,-3.414, 99.938,5.0, 26
2010/10/25,15:13:15.0,-3.081, 99.962,4.0, 10
2010/10/25,15:10:02.9,-3.335,100.123,4.8, 26
2010/10/25,14:55:50.0,-3.3, 99.60 ,5.0, 10
2010/10/25,14:54:25.5,-3.618, 99.920,4.7, 10
2010/10/25,14:42:22.5,-3.486,100.088,7.8, 20
2010/10/25,13:46:01.6,-64.691,176.961,4.6, 10
2010/10/25,13:45:36.3,35.071,-118.975,3.7, 18
2010/10/25,12:05:27.5,-0.046,125.086,5.8, 26
2010/10/25,10:08:00.9,24.613,-109.224,4.5, 10
2010/10/25,10:06:14.9,24.627,-109.191,4.8, 10
2010/10/25,07:45:20.8,-34.924,-72.564,4.9, 25
2010/10/25,07:40:45.0,34.741, 23.573,4.8, 22
2010/10/25,07:28:13.7,-6.131,113.177,4.5,578
2010/10/25,02:59:11.9,19.328,146.482,5.2, 45
2010/10/24,23:15:49.9,-5.462,154.225,5.4,132
2010/10/24,17:43:59.5,43.621,-110.399,4.4,  5
2010/10/24,15:13:13.9,-22.336,171.461,4.8,129
2010/10/24,10:46:57.5,-22.01,-67.026,4.5,165
2010/10/24,09:26:27.7,-20.167,-177.59,4.7,475
2010/10/24,09:11:07.8,-19.612,168.129,5.2, 35
2010/10/24,08:20:26.0,-47.228,165.541,4.7, 35
2010/10/24,08:12:44.5,39.433,-81.362,2.8,  5
2010/10/24,02:17:49.5,19.201,-64.528,4.7, 10
2010/10/24,00:52:29.1,76.085,  7.565,4.6, 10
2010/10/23,21:58:59.9,63.157,-24.113,4.8, 10
2010/10/23,21:51:19.0, 0.854,-78.166,4.6, 35
2010/10/23,21:49:26.4,51.700,-175.533,4.5, 35
2010/10/23,20:38:29.5,63.539,-23.725,4.8, 10
2010/10/23,19:42:57.8, 4.550, 95.001,4.6, 53
2010/10/23,18:37:56.0, 9.274,125.736,5.0, 43
2010/10/23,15:47:40.6,-36.851,-71.873,4.7, 35
2010/10/23,11:08:22.5, 4.713, 35.789,4.8, 10
2010/10/23,10:56:59.8,-36.719,-73.438,5.1, 29
2010/10/23,06:17:41.2,39.960, 21.420,4.9, 20
2010/10/23,05:58:27.7,-37.743,-73.362,5.5, 15
2010/10/23,05:27:22.0,32.186,-115.275,3.1,  8
2010/10/23,03:09:15.1,-56.882,-141.947,5.7, 10
2010/10/23,02:28:40.9,42.364,144.963,4.8, 56
2010/10/23,01:38:14.0,-29.593,-71.112,5.2, 44
2010/10/23,00:54:28.0,-20.291,-173.818,5.1, 45
2010/10/23,00:54:21.1,-21.169,-173.341,4.9, 10
2010/10/23,00:53:46.0,31.201,141.869,4.9, 27
2010/10/22,19:31:37.8,-20.827,-68.331,5.8,132
2010/10/22,18:23:26.0, 7.660,126.645,5.0,142
2010/10/22,15:38:14.2,55.400,-35.195,4.7, 17
2010/10/22,12:11:10.3,-18.703,-177.749,4.6,612
2010/10/22,12:08:54.3,-18.906,-177.638,4.8,658
2010/10/22,09:08:29.7,38.277, 49.100,5.1, 26
2010/10/22,08:34:24.1,37.950, 49.100,4.6, 15
2010/10/22,08:26:23.3,-18.379,-71.22,4.4, 29
2010/10/22,08:00:37.6,37.960, 49.090,4.6, 15
2010/10/22,04:18:59.1,-5.329,146.870,4.9,285
2010/10/22,04:10:17.0,24.509,-109.039,4.1, 10
2010/10/22,02:52:54.4,-20.344,-173.862,5.1, 36
2010/10/22,02:08:41.6, 8.696,-40.399,4.7, 10
2010/10/22,00:04:22.6,-5.854,130.058,4.8,206
2010/10/21,22:38:35.2,24.678,-109.478,4.1, 10
2010/10/21,17:53:12.8,24.664,-109.154,6.7, 10
2010/10/21,15:38:01.5,24.607,-109.167,4.6, 10
2010/10/21,15:14:08.9,24.609,-109.043,4.3, 10
2010/10/21,14:26:41.5,24.558,-109.288,4.7, 26
2010/10/21,13:56:26.9,-20.178,-173.951,5.0, 10
2010/10/21,12:46:00.9,15.095,122.379,4.8, 73
2010/10/21,12:09:43.8, 1.158,126.189,4.9, 67
2010/10/21,11:50:32.3,-33.377,-178.618,5.2, 16
2010/10/21,11:00:35.0,-6.176,150.840,5.3, 59
2010/10/21,07:25:43.6,-25.807,-177.624,5.0,154
2010/10/21,07:03:50.1, 4.569,124.569,4.8,351
2010/10/21,04:45:43.1,-34.742,-72.974,4.8, 28
2010/10/21,04:23:43.5,32.474,137.736,4.4,364
2010/10/21,02:49:56.0,-34.737,-73.721,5.9, 10
2010/10/20,23:01:54.6,31.364,-116.075,4.3, 10
2010/10/20,16:05:58.8,-0.232,-80.559,4.7, 60
2010/10/20,15:29:34.2, 1.860,127.216,4.6,105
2010/10/20,14:52:32.2,-19.747,168.048,4.5, 41
2010/10/20,14:35:57.6,-20.401,-173.735,5.2, 35
2010/10/20,13:00:40.5,-21.078,-178.548,4.5,569
2010/10/20,11:27:26.4,-31.329,-179.971,4.4,404
2010/10/20,07:35:45.0,24.333,-108.95,4.4, 10
2010/10/20,07:12:36.8,12.862,124.723,5.0, 71
2010/10/20,06:58:15.7,24.624,-108.993,5.8, 10
2010/10/20,05:51:22.6,24.353,-109.11,4.2, 11
2010/10/20,04:30:38.3,24.282,-109.266,4.7, 10
2010/10/20,04:15:34.8,24.460,-109.129,5.9, 10
2010/10/20,04:09:42.7,24.534,-109.101,5.8, 10
2010/10/20,03:53:40.7,-19.343,-174.321,4.9, 65
2010/10/20,03:39:28.9,24.712,-108.874,4.7, 10
2010/10/20,01:06:00.6,-0.381,-80.787,4.8, 49
2010/10/19,23:04:06.5,-4.895,102.436,4.7, 43
2010/10/19,21:16:24.6,-20.282,-173.721,5.1, 45
2010/10/19,20:58:44.7,32.159,-115.242,3.9,  7
2010/10/19,20:49:08.6,-6.542,104.845,4.8, 48
2010/10/19,20:39:40.3,-20.326,-173.797,5.2, 35
2010/10/19,20:17:54.3,-43.546,172.423,4.1, 20
2010/10/19,18:48:04.3,-4.916,133.670,4.6, 35
2010/10/19,17:53:15.7,35.225,-97.224,2.8,  5
2010/10/19,17:51:48.9,38.835,-122.792,3.5,  1
2010/10/19,16:27:20.7,-34.45,-73.42,4.2, 10
2010/10/19,15:49:20.9,32.360,-115.219,3.1, 14
2010/10/19,15:19:08.0, 4.653, 96.311,4.4, 44
2010/10/19,14:36:56.1,-7.793,147.640,4.2, 57
2010/10/19,14:32:13.0,39.383, 33.140,4.0,  5
2010/10/19,10:58:17.3,-19.773,-173.126,5.0, 10
2010/10/19,10:06:12.8,55.143,160.167,5.0, 35
2010/10/19,08:55:39.4,35.312,-120.31,3.0,  9
2010/10/19,08:55:24.0,35.317,-92.3,2.6,  4
2010/10/19,08:49:46.4,50.448,-175.278,2.5, 10
2010/10/19,08:37:01.2,32.101,-115.15,2.9,  6
2010/10/19,08:06:50.6,-63.508,-166.853,4.9, 10
2010/10/19,07:42:03.8,51.470,-175.939,2.8, 50
2010/10/19,07:33:57.6,-23.552,-115.185,4.8, 10
2010/10/19,07:04:15.0,54.678,-156.663,2.9,  6
2010/10/19,03:59:00.0,35.318,-92.298,2.5,  4
2010/10/19,03:56:53.6,19.372,-68.175,4.1,  4
2010/10/19,03:10:47.0,35.018,-95.584,2.7,  5
2010/10/19,00:38:29.7,47.418, 11.608,3.9, 14
2010/10/19,00:24:05.0,-41.301,-90.345,5.0, 11
2010/10/18,23:13:14.1,-3.622,101.393,4.7, 62
2010/10/18,22:32:13.0,-43.63,172.560,4.8,  9
2010/10/18,15:21:37.0,40.733,-123.958,3.4, 21
2010/10/18,14:29:30.0,35.312,-92.303,2.6,  6
2010/10/18,14:05:03.0,36.037,-97.398,2.5,  5
2010/10/18,12:11:30.9,-6.602,147.386,4.5, 76
2010/10/18,09:09:45.2,-21.983,-175.256,4.8, 48
2010/10/18,08:02:17.7,-6.581,153.642,5.1, 41
2010/10/18,04:26:51.2,28.492, 85.647,4.0, 43
2010/10/18,01:46:15.1,-18.766,-177.4,4.9,620
2010/10/18,01:03:33.2,-13.021,165.903,4.3, 70
2010/10/17,23:54:39.0,-21.34,-68.908,4.1,117
2010/10/17,21:49:39.1,27.969,104.122,5.0, 14
2010/10/17,21:21:04.0, 6.163, 94.500,4.6, 91
2010/10/17,20:28:22.0,-43.617,172.406,4.4,  9
2010/10/17,20:11:20.1,28.535, 85.668,4.9, 53
2010/10/17,17:55:05.6,39.320, 20.627,4.8, 16
2010/10/17,16:43:14.7,-30.39,-177.91,4.0, 48
2010/10/17,16:24:46.6,-0.104,149.715,5.0, 10
2010/10/17,13:31:14.4,-55.775,-26.978,4.1, 27
2010/10/17,12:26:32.0,51.441,-175.253,3.5, 26
2010/10/17,12:23:31.0,37.150,-117.38,2.6, 10
2010/10/17,11:56:58.3,59.688,-152.4,2.9, 68
2010/10/17,11:51:47.7,51.272,-175.2,4.2,  7
2010/10/17,11:49:50.6,-46.076,-75.494,4.8, 35
2010/10/17,11:28:54.3,50.341,-177.527,4.4, 27
2010/10/17,11:08:18.0,19.244,-67.463,2.9, 90
2010/10/17,10:15:11.7,12.964, 92.355,5.0, 35
2010/10/17,09:15:35.6,-10.494,-78.402,4.3, 79
2010/10/17,09:15:17.8, 8.725,127.100,4.7, 35
2010/10/17,09:00:37.8,63.029,-150.39,3.1, 96
2010/10/17,08:27:49.9,-11.713,-72.231,5.2, 10
2010/10/17,08:19:43.5,36.350,141.138,4.8, 41
2010/10/17,05:54:08.9,-22.517,-175.185,4.8, 36
2010/10/17,01:07:01.0,-7.433,125.718,4.7, 36
2010/10/16,23:59:46.4,-55.488,-28.057,5.2, 10
2010/10/16,20:08:36.8,-20.42,-173.865,5.9, 57
2010/10/16,19:51:51.1, 6.639, 94.333,5.3, 93
2010/10/16,15:44:30.9,-7.376,125.672,5.9,  8
2010/10/16,13:51:41.1,-55.569,158.372,5.2, 20
2010/10/16,13:27:46.2,-20.42,-173.939,5.6, 10
2010/10/16,12:03:07.9,-34.986,-72.131,4.8, 33
2010/10/16,09:43:18.5,35.278,-92.342,3.5,  5
2010/10/16,08:45:16.1,14.103,146.627,4.6, 35
2010/10/16,07:06:59.3,51.893,-173.629,2.5,  1
2010/10/16,06:43:11.9,14.008,-91.476,4.6, 59
2010/10/16,05:54:06.5,27.141,128.158,4.7, 62
2010/10/16,05:42:04.0,44.162,-118.228,2.9, 16
2010/10/16,05:36:25.0,31.128,141.830,4.6, 39
2010/10/16,05:12:30.0,-1.444,-80.34,4.5, 68
2010/10/16,03:23:59.9,-24.786,-179.67,4.8,472
2010/10/16,02:57:09.6,-43.645,172.366,3.9,  5
2010/10/15,23:41:11.0,14.162,-91.266,5.0,101
2010/10/15,21:14:28.5,40.197,142.192,4.7, 45
2010/10/15,18:40:17.0,35.301,-92.34,3.0,  6
2010/10/15,17:54:02.3,46.993,-27.216,5.0, 10
2010/10/15,12:43:55.3, 3.645, 95.446,5.1, 49
2010/10/15,11:23:40.9,14.291,-89.989,4.7,109
2010/10/15,10:20:18.9,35.294,-92.34,3.8,  7
2010/10/15,09:56:51.6,-4.504,153.643,5.0, 70
2010/10/15,08:54:54.2,52.763,-169.59,2.9,  5
2010/10/15,07:42:50.6,53.459,-165.273,3.1, 26
2010/10/15,07:39:02.1,-18.673,-69.169,4.5,106
2010/10/15,06:52:22.7,51.273,-178.157,2.9, 41
2010/10/15,06:41:17.7,52.751,-169.419,3.2,  3
2010/10/15,06:36:14.4,59.747,-153.014,2.6, 94
2010/10/15,05:43:39.4, 7.422, 94.075,4.7, 35
2010/10/15,05:21:19.0,38.868, 16.657,4.1, 35
2010/10/15,05:11:13.9,52.591,-34.707,4.4, 10
2010/10/15,03:39:00.5,54.412,-161.619,2.7,  8
2010/10/15,02:49:06.8, 6.040,123.507,4.7,586
2010/10/15,01:44:49.7,52.616,-170.162,3.3,  7
2010/10/15,00:15:09.8,53.804,-163.48,3.5, 26
2010/10/14,22:36:39.4,52.484,-170.104,2.8, 10
2010/10/14,21:49:18.8,19.437,-64.82,3.2, 25
2010/10/14,13:58:55.1,42.363,142.973,5.6, 47
2010/10/14,13:58:53.8,42.337,142.902,5.6, 35
2010/10/14,12:59:27.6,60.348,-140.628,4.1,  1
2010/10/14,10:47:18.3, 5.477,-82.731,4.8, 31
2010/10/14,10:07:33.2,35.239,-92.418,3.4,  5
2010/10/14,10:03:31.6,-10.306, 42.832,5.2, 15
2010/10/14,06:26:53.3, 6.824,-73.035,4.5,145
2010/10/14,06:06:15.5,21.657,121.095,4.6, 27
2010/10/14,05:59:00.8,-43.62,172.525,4.1,  5
2010/10/14,04:26:30.8,33.96 ,-126.32,3.2, 10
2010/10/14,02:19:27.8,37.73 , 73.24 ,4.5, 10
2010/10/13,23:32:51.6,-13.85,167.798,4.9, 75
2010/10/13,19:18:15.0,43.070,-110.84,3.3, 12
2010/10/13,18:39:00.0,43.070,-110.84,2.8, 11
2010/10/13,15:51:52.7,63.223,-137.884,2.6, 10
2010/10/13,15:13:00.5,12.578,-88.143,4.5, 66
2010/10/13,15:07:41.2,33.251, 48.998,4.3, 10
2010/10/13,14:45:37.6,61.079,-150.936,2.8, 11
2010/10/13,14:27:07.8,32.242,-115.414,2.9, 13
2010/10/13,14:06:30.0,35.192,-97.32,4.4, 13
2010/10/13,10:36:14.7,51.600,-173.14,4.5, 24
2010/10/13,05:59:02.4,13.979,146.660,4.9, 25
2010/10/13,05:40:26.8,73.068, 12.939,4.6, 14
2010/10/13,03:43:38.3,52.096,-171.103,3.0, 25
2010/10/13,03:42:30.2,-43.586,172.414,4.6, 11
2010/10/13,02:17:52.4, 4.435,-32.518,4.2, 10
2010/10/13,02:09:11.1,36.085,-117.855,2.2,  4
2010/10/13,01:03:49.4,-16.821,-172.782,4.5, 10
2010/10/12,12:02:56.0,-20.488,-173.985,5.9, 12
2010/10/12,12:01:08.4,-20.361,-174.236,5.5, 10
2010/10/12,11:10:33.1,-20.023,-177.613,4.9,270
2010/10/12,10:21:36.5,-4.912,133.676,5.9, 13
2010/10/12,08:47:20.9, 6.711,-72.953,4.4,172
2010/10/12,08:27:47.7,52.076,-169.771,3.0, 42
2010/10/12,07:39:55.9,54.528,-161.031,2.9,  3
2010/10/12,07:01:03.7,-21.136,-68.529,4.7, 97
2010/10/12,04:59:03.5,-26.185, 70.873,4.9, 10
2010/10/12,04:47:48.6,62.084,-147.815,2.9, 25
2010/10/12,04:20:34.4, 2.642,122.155,4.8,540
2010/10/12,04:04:32.5,52.674,-169.311,2.7,  9
2010/10/12,03:11:46.2,18.054,-65.427,2.9,  6
2010/10/12,03:00:35.6,32.209,-115.29,4.1,  6
2010/10/11,23:16:38.0,25.353,124.782,5.2,109
2010/10/11,22:48:27.4,76.253, 64.780,4.6, 10
2010/10/11,16:58:40.0,32.286,-115.364,2.9,  1
2010/10/11,16:33:38.4,-24.424,-179.833,4.6,506
2010/10/11,16:06:04.0,35.315,-92.335,3.6,  6
2010/10/11,14:11:30.4,14.570,-92.571,4.4, 56
2010/10/11,14:10:33.6,41.126,141.262,4.7,108
2010/10/11,13:57:26.0,37.156,-117.381,2.6, 11
2010/10/11,13:43:31.0,35.292,-92.341,2.5,  7
2010/10/11,13:33:40.0,35.306,-92.316,4.0,  6
2010/10/11,13:00:37.9,-4.814,133.984,4.5,  6
2010/10/11,08:35:31.8,-33.798,-71.75,4.9, 38
2010/10/11,03:17:27.2,19.106,144.860,4.6,615
2010/10/11,03:08:01.3,51.482,-175.253,2.6, 13
2010/10/11,02:19:51.5,52.912,-163.645,3.4, 10
2010/10/11,02:07:45.4,-8.237,120.285,4.5, 39
2010/10/11,01:53:54.9,52.742,-169.637,2.7,  9
2010/10/11,01:48:17.1,19.334,-64.434,3.3, 49
2010/10/11,01:21:05.5,50.712,-130.444,4.2, 10
2010/10/11,01:15:45.6,19.104,-64.198,3.0, 24
2010/10/11,00:34:34.9,42.449, 21.620,4.3,  3
2010/10/11,00:34:27.3,51.264,-177.857,2.7, 26
2010/10/10,23:28:10.1,51.690,-168.394,2.5, 34
2010/10/10,23:17:37.8,62.385,-149.157,2.5,  2
2010/10/10,21:44:26.6,33.941, 72.845,5.1, 33
2010/10/10,15:32:04.7,-30.733,-178.308,4.3, 77
2010/10/10,14:56:31.8, 2.538, 95.812,4.0, 38
2010/10/10,14:47:10.1,35.589,140.855,4.4,  5
2010/10/10,13:50:17.9,15.316,-61.457,4.5,151
2010/10/10,13:35:42.3,-6.35,129.880,4.5,177
2010/10/10,12:48:22.0,35.322,-92.332,3.0,  5
2010/10/10,12:03:42.8,51.333,-175.364,2.6, 25
2010/10/10,11:27:52.0,45.950,-111.2,2.5,  8
2010/10/10,11:10:46.0,35.311,-92.311,1.8,  4
2010/10/10,09:49:32.7, 3.620,128.184,4.5,114
2010/10/10,07:53:20.2,31.044,141.760,4.8, 44
2010/10/10,06:25:30.1,51.482,-175.183,5.1, 35
2010/10/10,06:08:14.8,51.461,-175.262,5.5, 33
2010/10/10,05:48:19.7,-23.32,-179.83,4.8,550
2010/10/10,02:27:51.4,31.067,141.611,5.1, 14
2010/10/10,02:10:28.3, 0.845,-85.187,4.7, 53
2010/10/10,01:41:48.5,39.284, 72.442,4.7, 61
2010/10/09,23:03:21.1,30.905,-115.655,3.7, 11
2010/10/09,21:46:10.4,25.847,127.772,4.8, 30
2010/10/09,19:07:41.5,41.305,144.665,4.1, 35
2010/10/09,19:04:49.8,38.169, 22.744,5.1, 11
2010/10/09,18:36:52.8,48.282,154.135,4.5, 81
2010/10/09,18:36:28.0,53.547,-164.9,3.1, 29
2010/10/09,18:06:18.5,53.328,-160.719,2.9, 26
2010/10/09,17:19:45.4,55.190,160.064,4.7, 38
2010/10/09,14:04:47.9,-2.656,-76.604,5.3,123
2010/10/09,13:16:20.0,26.209,144.511,4.8, 22
2010/10/09,10:58:12.2,38.785, 72.882,4.9, 10
2010/10/09,10:15:16.2,39.282, 70.229,4.9, 15
2010/10/09,08:53:23.6,52.170,-169.63,2.5, 29
2010/10/09,08:34:25.7,51.265,-175.132,2.8, 24
2010/10/09,07:49:33.9,52.611,-169.657,2.8,  5
2010/10/09,07:42:27.6,32.929,-100.886,3.1,  5
2010/10/09,07:05:26.1,51.312,-175.103,2.5, 10
2010/10/09,07:04:17.7,52.705,-169.517,2.7,  1
2010/10/09,06:48:54.1,32.837,106.235,4.2, 25
2010/10/09,06:12:23.1,35.812,140.444,4.8, 29
2010/10/09,05:17:30.6,26.339,144.571,4.6, 10
2010/10/09,04:13:40.3,35.211,-92.288,3.0,  5
2010/10/09,03:25:03.8,18.245,146.480,5.0, 74
2010/10/09,01:54:04.7,10.206,-84.301,5.8, 92
2010/10/08,23:46:22.8,51.117,-174.805,2.8, 31
2010/10/08,23:40:57.0, 1.242, 30.555,4.4, 26
2010/10/08,23:33:54.4,51.162,-174.716,4.6, 25
2010/10/08,23:32:22.7,51.154,-174.99,5.0, 25
2010/10/08,23:15:28.3,51.294,-174.783,2.7,  5
2010/10/08,22:26:00.3,51.191,-175.231,3.4,  9
2010/10/08,21:45:00.0, 1.665,126.616,4.5, 64
2010/10/08,21:43:39.4, 7.663, 91.862,4.3, 29
2010/10/08,21:40:45.1,59.826,-153.344,3.5,126
2010/10/08,21:22:45.7,51.299,-175.185,5.2, 28
2010/10/08,20:19:01.4,51.306,-175.101,2.7,  5
2010/10/08,20:16:55.4,-13.88,-49.229,5.0, 10
2010/10/08,20:01:46.3,51.319,-175.364,2.9, 24
2010/10/08,19:30:01.8,63.238,-130.368,4.0, 10
2010/10/08,19:14:25.4,51.259,-175.052,3.7,  2
2010/10/08,18:28:01.4,51.278,-175.078,4.7, 27
2010/10/08,18:03:20.9,58.752,-152.668,2.7, 60
2010/10/08,17:49:01.8,51.253,-175.09,2.7,  5
2010/10/08,17:44:27.2,51.300,-175.085,4.4,  5
2010/10/08,17:41:39.7,52.617,-169.179,2.6,  6
2010/10/08,17:06:09.9,-54.954,  4.214,4.6, 10
2010/10/08,17:00:30.5,58.752,-152.638,4.7, 56
2010/10/08,11:45:21.8,31.210,-115.897,4.0, 10
2010/10/08,10:15:35.8,-58.839,-25.592,4.8, 10
2010/10/08,08:46:42.3,51.293,-175.103,2.6,  5
2010/10/08,08:35:20.4,51.416,-175.364,2.7, 26
2010/10/08,08:29:31.7,39.235, 70.116,4.4, 35
2010/10/08,08:22:33.8,51.273,-175.134,3.2,  5
2010/10/08,08:08:14.1,51.219,-175.333,2.6, 27
2010/10/08,07:45:18.7,51.218,-175.281,2.5,  8
2010/10/08,07:36:44.6,51.329,-175.163,2.7, 13
2010/10/08,07:22:01.5,54.702,-159.835,2.9,  6
2010/10/08,07:21:19.9,51.275,-175.081,3.1,  5
2010/10/08,07:21:01.0,-33.687,-72.035,4.8, 16
2010/10/08,07:01:29.5,29.321,109.950,4.2, 53
2010/10/08,06:52:16.7,51.313,-175.102,2.7,  6
2010/10/08,06:47:22.7,25.940,124.399,4.6,181
2010/10/08,06:41:18.8,51.252,-175.351,2.7, 26
2010/10/08,06:33:40.9,51.404,-175.216,2.7, 23
2010/10/08,06:25:06.7,51.213,-175.255,2.7,  7
2010/10/08,06:18:12.4,-7.625,128.483,4.4,137
2010/10/08,06:16:57.9,51.237,-175.28,2.8, 10
2010/10/08,06:00:47.1,51.392,-175.339,3.0, 27
2010/10/08,05:46:52.2,51.279,-175.114,3.0, 20
2010/10/08,05:43:36.7,51.269,-175.165,2.7,  4
